 ,CL1 COMB Comdty,,,
Date,Last Px,Open Int,SMAVG (15),
03/31/2022,76.95411,267.229k,383.83k, 
02/28/2022,71.48084,318.21k,390.547k, 
01/31/2022,65.60244,396.246k,395.922k, 
 , , , , 
12/31/2021,55.56705,278.572k,394.771k, 
11/30/2021,49.89445,356.41k,399.556k, 
10/29/2021,61.12046,378.537k,399.402k, 
 , , , , 
09/30/2021,55.7388,433.297k,401.651k, 
08/31/2021,49.81094,351.028k,390.89k, 
07/30/2021,53.20527,458.7k,384.482k, 
 , , , , 
06/30/2021,53.23913,399.213k,372.135k, 
05/31/2021,46.7141,479.286k,387.35k, 
04/30/2021,45.97252,406.581k,384.128k, 
 , , , , 
03/31/2021,42.86956,376.38k,388.679k, 
02/26/2021,44.10183,424.066k,390.762k, 
01/29/2021,38.08551,433.69k,393.162k, 
 , , , , 
12/31/2020,35.54318,367.996k,391.768k, 
11/30/2020,33.95492,398.824k,392.837k, 
10/30/2020,27.65415,378.99k,390.988k, 
 , , , , 
09/30/2020,31.15173,350.342k,392.548k, 
08/31/2020,31.8508,354.093k,391.114k, 
 ,,,,
